"year","name","college","pos","height_in","weight_lbs","wonderlic","x40_yard","bench_press","vert_leap_in","broad_jump_in","shuttle","x3cone"
2016,"Andy Janovich","Nebraska","RB",73,238,NA,4.81,30,34,119,4.32,7.28
2016,"Quinton Jefferson","Maryland","DT",75.88,291,NA,4.95,24,29,NA,4.37,7.95
2016,"Jordan Jenkins","Georgia","OLB",74.63,259,NA,4.8,16,36.5,121,9.99,9.99
2016,"Austin Johnson","Penn State","DT",76.38,314,NA,5.32,25,26,96,4.75,7.84
2016,"C.J. Johnson","Mississippi","ILB",73.38,234,NA,4.81,NA,NA,NA,4.52,9.99
2016,"Devon Johnson","Marshall (WV)","RB",72.5,238,NA,9.99,NA,NA,NA,9.99,9.99
2016,"Tyler Johnstone","Oregon","OT",77.5,301,NA,5.21,24,30.5,104,4.6,7.31
2016,"Cardale Jones","Ohio State","QB",77,253,NA,4.81,NA,36,NA,9.99,9.99
2016,"Cayleb Jones","Arizona","WR",74.63,209,NA,4.65,9,33.5,NA,4.14,6.99
2016,"Chris Jones","Mississippi State","DT",77.75,310,NA,5.03,26,24.5,106,4.62,7.44
2016,"Cyrus Jones","Alabama","CB",69.88,197,NA,4.49,10,33,116,4.21,6.71
2016,"Deion Jones","Louisiana State","OLB",72.88,222,NA,4.59,NA,33,120,9.99,9.99
2016,"Jonathan Jones","Auburn","CB",69.13,186,NA,4.33,19,36,123,4.25,7.25
2016,"Karl Joseph","West Virginia","SS",69.63,205,NA,9.99,NA,NA,NA,9.99,9.99
2016,"Matt Judon","Grand Valley State (MI)","DE",75,275,NA,4.73,30,35,109,4.52,7.67
2016,"Ufomba Kamalu","Miami (FL)","DT",77.13,295,NA,5.01,26,25,106,4.58,7.32
2016,"Nila Kasitati","Oklahoma","G",75.25,317,NA,5.32,12,27.5,107,4.83,8.3
2016,"Bronson Kaufusi","Brigham Young","DE",78.5,285,NA,4.87,25,30,111,4.25,7.03
2016,"Jayron Kearse","Clemson","SS",76,216,NA,4.62,16,31.5,124,9.99,7.06
2016,"Ryan Kelly","Alabama","C",76,311,NA,5.03,26,30,103,4.59,7.58
2016,"Cody Kessler","Southern California","QB",73.25,220,NA,4.89,NA,29.5,104,4,7.32
2016,"Miles Killebrew","Southern Utah","SS",73.88,217,NA,4.65,22,38,127,4.18,6.93
2016,"Derrick Kindred","Texas Christian","SS",70,207,NA,4.5,NA,37.5,123,4.29,7.05
2016,"Raphael Kirby","Miami (FL)","ILB",72,236,NA,9.99,27,NA,NA,9.99,9.99
2016,"Denver Kirkland","Arkansas","G",76.5,335,NA,5.55,19,22.5,94,5.06,8.72
2016,"Nick Kwiatkoski","West Virginia","ILB",74,243,NA,4.73,19,32,120,4.22,7.16
2016,"Daniel Lasco","California","RB",72.25,209,NA,4.46,23,41.5,135,4.26,7.22
2016,"Darius Latham","Indiana","DT",76.25,311,NA,5.32,NA,29,100,4.63,7.76
2016,"Kenny Lawler","California","WR",74.5,203,NA,4.64,NA,31,111,4.2,7.13
2016,"Nile Lawrence-Stample","Florida State","DT",73,320,NA,9.99,NA,NA,NA,9.99,9.99
2016,"Shaq Lawson","Clemson","DE",74.63,269,NA,4.7,NA,33,120,4.21,7.16
2016,"Darron Lee","Ohio State","OLB",72.75,232,NA,4.47,17,35.5,133,4.2,7.12
2016,"Alex Lewis","Nebraska","OT",78,312,NA,5.22,27,29.5,100,4.72,7.94
2016,"Roger Lewis","Bowling Green (OH)","WR",72.38,201,NA,4.57,8,33.5,116,9.99,9.99
2016,"Kolby Listenbee","Texas Christian","WR",72,197,NA,4.39,15,35.5,129,9.99,9.99
2016,"Cory Littleton","Washington","OLB",75.13,238,NA,4.73,NA,29.5,114,4.32,7.11
2016,"Jordan Lomax","Iowa","FS",69.88,202,NA,4.75,8,36,120,4.15,7.18
2016,"Steve Longa","Rutgers","OLB",72.63,241,NA,4.78,19,32,116,4.56,7.5
2016,"Ricardo Louis","Auburn","WR",73.75,215,NA,4.43,18,38,132,9.99,9.99
2016,"Dean Lowry","Northwestern","DE",77.75,296,NA,4.87,30,32.5,114,4.38,7.26
2016,"Jordan Lucas","Penn State","SS",71.63,201,NA,9.99,NA,NA,NA,9.99,9.99
2016,"Paxton Lynch","Memphis","QB",78.63,244,NA,4.86,NA,36,118,4.26,7.14
2016,"Tre Madden","Southern California","RB",72.25,223,NA,9.99,24,NA,NA,9.99,9.99
2016,"Luther Maddy","Virginia Tech","DT",72,287,NA,9.99,29,NA,NA,9.99,9.99
2016,"Curt Maggitt","Tennessee","OLB",75.25,247,NA,9.99,NA,NA,NA,9.99,9.99
2016,"Ryan Malleck","Virginia Tech","TE",76.5,247,NA,9.99,18,34.5,121,4.33,7
2016,"Byron Marshall","Oregon","WR",69.38,201,NA,9.99,17,NA,NA,9.99,9.99
2016,"Jalin Marshall","Ohio State","WR",70.5,200,NA,4.6,16,37.5,125,4.13,6.8
2016,"Keith Marshall","Georgia","RB",71.38,219,NA,4.31,25,30.5,NA,9.99,9.99
2016,"Nick Martin","Notre Dame","C",76.13,299,NA,5.22,28,28,97,4.72,7.57
2016,"Blake Martinez","Stanford","ILB",73.63,237,NA,4.71,22,28.5,113,4.2,6.98
2016,"Tyler Marz","Wisconsin","OT",78.75,316,NA,5.54,19,27.5,99,4.97,8.38
2016,"Tyler Matakevich","Temple","ILB",72,238,NA,4.81,22,31,112,4.5,7.19
2016,"Chris Mayes","Georgia","DT",75.13,338,NA,5.34,33,23.5,104,5.13,9.99
2016,"Alex McCalister","Florida","DL",78.13,239,NA,4.8,NA,34.5,128,4,7.01
2016,"Jake McGee","Florida","TE",77.5,250,NA,9.99,17,NA,NA,9.99,9.99
2016,"Connor McGovern","Missouri","G",76.25,306,NA,5.11,33,33,109,4.65,7.5
2016,"Mekale McKay","Cincinnati","WR",75.63,207,NA,4.55,12,35,123,4.63,7.08
2016,"Cassanova McKinzy","Auburn","ILB",73,248,NA,9.99,21,NA,NA,9.99,9.99
2016,"Braxton Miller","Ohio State","WR",73.38,201,NA,4.5,17,35,123,4.07,6.65
2016,"Harlan Miller","Southeastern Louisiana","CB",71.88,182,NA,4.65,6,35.5,118,4.43,7.44
2016,"Jalen Mills","Louisiana State","FS",72,191,NA,4.61,16,37,123,4,6.86
2016,"Malcolm Mitchell","Georgia","WR",71.63,198,NA,4.45,15,36,129,4.34,6.94
2016,"Chris Moore","Cincinnati","WR",73,206,NA,4.53,10,37,130,4.2,6.76
2016,"David Morgan","Texas-San Antonio","TE",76.13,262,NA,5.02,29,30,115,4.19,6.93
2016,"Antonio Morrison","Florida","ILB",73,232,NA,9.99,NA,NA,NA,9.99,9.99
2016,"Kyle Murphy","Stanford","OT",78.38,305,NA,9.99,23,NA,NA,9.99,9.99
2016,"Eric Murray","Minnesota","CB",70.63,199,NA,4.49,15,39.5,124,4.05,7.08
2016,"Carl Nassib","Penn State","DE",78.88,277,NA,4.84,21,28.5,114,4.37,7.27
2016,"Keanu Neal","Florida","FS",72,211,NA,4.62,17,38,132,4.38,7.09
2016,"Stephane Nembot","Colorado","OT",78.75,322,NA,5.39,32,26.5,103,5.15,8.55
2016,"Giorgio Newberry","Florida State","DE",77.5,285,NA,4.94,20,30,114,4.78,7.53
2016,"Yannick Ngakoue","Maryland","DE",74,252,NA,4.75,26,34.5,118,4.5,7.35
2016,"Dadi Nicolas","Virginia Tech","DE",74.88,235,NA,4.74,14,41,116,4.38,7.04
2016,"Robert Nkemdiche","Mississippi","DT",75.5,294,NA,4.87,28,35,116,9.99,9.99
2016,"Jared Norris","Utah","ILB",73.25,241,NA,4.8,19,29.5,114,4.52,9.99
2016,"Marquez North","Tennessee","WR",74.5,223,NA,4.48,17,35,123,4.13,6.9
2016,"Shawn Oakman","Baylor","DE",79.63,287,NA,4.96,23,32,123,4.56,7.53
2016,"Victor Ochi","Stony Brook (NY)","DE",73.13,246,NA,4.86,NA,32,119,4.4,7.24
2016,"Rees Odhiambo","Boise State","G",75.88,314,NA,9.99,23,NA,NA,9.99,9.99
2016,"Emmanuel Ogbah","Oklahoma State","DE",76.25,273,NA,4.63,20,35.5,121,4.5,7.26
2016,"Romeo Okwara","Notre Dame","DE",76.63,265,NA,4.9,23,33,120,4.53,7.38
2016,"Drew Ott","Iowa","DE",76.5,273,NA,9.99,NA,NA,NA,9.99,9.99
2016,"Montese Overton","East Carolina (NC)","OLB",73.75,223,NA,4.61,18,34,123,4.47,7.15
2016,"Gionni Paul","Utah","ILB",70.13,231,NA,5.05,22,31,113,9.99,9.99
2016,"Jordan Payton","UCLA","WR",73.13,207,NA,4.47,NA,34.5,121,4.33,7.08
2016,"Charone Peake","Clemson","WR",74.38,209,NA,4.45,12,35.5,122,4.46,6.96
2016,"Paul Perkins","UCLA","RB",70.38,208,NA,4.54,19,32,124,9.99,9.99
2016,"Joshua Perry","Ohio State","OLB",75.75,254,NA,4.68,20,33.5,124,9.99,9.99
2016,"Kevin Peterson","Oklahoma State","CB",70.38,181,NA,4.58,14,35.5,121,4.31,6.94
2016,"D.J. Pettway","Alabama","DE",74.13,265,NA,4.99,17,28,108,4.69,7.74
2016,"Tyvis Powell","Ohio State","FS",74.75,211,NA,4.46,15,34.5,120,4.25,7.03
2016,"Dak Prescott","Mississippi State","QB",74.25,226,NA,4.79,NA,32.5,116,4.32,7.11
2016,"C.J. Prosise","Notre Dame","RB",72.5,220,NA,4.48,NA,35.5,121,9.99,9.99
2016,"Jimmy Pruitt","San Jose State","CB",71.63,198,NA,4.73,19,32,117,9.99,9.99
2016,"Reggie Ragland","Alabama","ILB",73.25,247,NA,4.72,NA,31.5,116,4.28,9.99
2016,"Jalen Ramsey","Florida State","FS",73.25,209,NA,4.41,14,41.5,135,4.18,6.94
2016,"Sheldon Rankins","Louisville","DT",73.13,299,NA,5.03,28,34.5,118,4.59,7.44
2016,"D.J. Reader","Clemson","DT",74.63,327,NA,5.33,30,29.5,99,4.71,7.9
2016,"Alex Redmond","UCLA","G",76.75,294,NA,5.3,30,28,111,4.9,7.75
2016,"Will Redmond","Mississippi State","CB",70.75,182,NA,9.99,NA,NA,NA,9.99,9.99
2016,"Jarran Reed","Alabama","DT",74.88,307,NA,5.21,NA,31,104,4.75,7.77
2016,"Hassan Ridgeway","Texas","DT",75.38,303,NA,5.02,24,32,113,4.82,8.28
2016,"Dominique Robertson","West Georgia","OT",76.63,324,NA,5.36,30,28.5,100,4.83,8.42
