college_name,state,percent_female,percent_stem,div1_fball,school_sector,undergraduate_enrollment,mid_career_median_pay,rank,col_index,gam_residual
Northern Illinois University,Illinois,37,20,1,0,16344,91400,599,96.7,6106.650583173658
Lyon College,Arkansas,36,39,0,1,747,74100,600,88.8,-7672.337554104379
University of Wisconsin-Milwaukee,Wisconsin,40,17,0,0,25552,84900,601,96.3,1405.7731903115928
Maryville College,Tennessee,42,17,0,1,1266,67e3,602,89.4,-11396.990810205156
Southern Illinois University-Carbondale,Illinois,32,17,0,0,14593,85500,603,96.7,-1508.5745156779158
Clarke University,Iowa,56,11,0,1,967,71800,604,91.9,-1056.9213895384019
Fisk University,Tennessee,53,34,0,1,819,78400,605,89.4,3544.849005753116
Central Michigan University,Michigan,44,12,1,0,21479,79e3,606,88.7,-113.82142581233347
University of Alaska Anchorage,Alaska,46,11,0,0,24754,93100,607,130.9,6827.241436955635
The University of Texas at El Paso,Texas,42,23,1,0,23771,88400,608,91.3,6661.482468138041
The University of West Florida,Florida,45,13,0,0,12463,76800,609,98.9,-4477.587109984728
Liberty University,Virginia,46,2,0,1,65425,68400,610,102.1,-8688.790924207904
Fort Lewis College,Colorado,39,18,0,0,4086,78900,611,103.9,-2468.4636409823142
University of Toledo,Ohio,37,20,1,0,17965,86100,612,92.7,2278.838382984555
Western Kentucky University,Kentucky,46,11,1,0,20547,79100,614,92.6,234.98737827152945
University of South Alabama,Alabama,42,18,1,0,13267,80100,616,88.8,-432.51872197393095
Guilford College,North Carolina,42,16,0,1,2150,69800,617,93.9,-9971.930245478405
Catawba College,North Carolina,41,14,0,1,1391,74200,618,93.9,-4806.910529081375
Hiram College,Ohio,41,20,0,1,1217,79800,619,92.7,555.887907934637
Castleton University,Vermont,40,8,0,0,2188,73300,620,117.4,-6510.256916085287
Wayne State University,Michigan,43,20,0,0,20795,86100,621,88.7,6041.837150896448
Indiana University of Pennsylvania-Main Campus,Pennsylvania,42,7,0,0,13061,81500,622,101.2,182.45866607002972
Cleveland State University,Ohio,41,18,0,0,14415,81300,623,92.7,-369.7680872755154
Carson-Newman University,Tennessee,45,6,0,1,1875,68800,624,89.4,-6292.50229153737
Middle Tennessee State University,Tennessee,42,10,1,0,23722,74400,625,89.4,-4573.2308746075
Indiana State University,Indiana,41,8,0,0,14331,8e4,626,91.5,453.65116168498935
New Mexico State University-Main Campus,New Mexico,41,22,1,0,14169,94400,627,92.9,12499.69014993179
Boise State University,Idaho,42,13,1,0,22234,79900,628,92.7,-315.45748167250713
University of Southern Mississippi,Mississippi,51,11,1,0,13747,77400,629,84,2788.809921987224
University of Akron Main Campus,Ohio,35,20,1,0,21460,81600,630,92.7,-2313.538878186955
Wright State University-Main Campus,Ohio,40,32,0,0,14240,82700,631,92.7,298.53187842690386
University of Central Oklahoma,Oklahoma,46,8,0,0,17659,76200,632,88.3,-416.57271475711605
Northern Kentucky University,Kentucky,44,11,0,0,14417,83100,633,92.6,4071.048823802339
Georgetown College,Kentucky,40,11,0,1,1037,78800,634,92.6,1248.9027344638598
University of Memphis,Tennessee,47,12,1,0,19345,79800,635,89.4,2636.6038926378096
Southeastern Louisiana University,Louisiana,49,8,0,0,16501,76e3,636,93.4,-694.6136877498648
