college_name,state,percent_female,percent_stem,division_1_football_classifications,school_sector,undergraduate_enrollment,mid_career_median_pay
University of Wisconsin-Parkside,Wisconsin,41,14,Not Division 1 Football,Public,4963,76100
Southeastern Louisiana University,Louisiana,49,8,Not Division 1 Football,Public,16501,76e3
University of Southern Maine,Maine,44,10,Not Division 1 Football,Public,7554,76e3
Olivet College,Michigan,28,14,Not Division 1 Football,Private not-for-profit,1061,76e3
University of Minnesota-Crookston,Minnesota,41,3,Not Division 1 Football,Public,3410,76e3
SUNY Empire State College,New York,49,6,Not Division 1 Football,Public,17171,76e3
Geneva College,Pennsylvania,40,18,Not Division 1 Football,Private not-for-profit,1656,76e3
Marshall University,West Virginia,45,10,Conference USA,Public,11018,75900
Arkansas State University-Main Campus,Arkansas,46,6,Sun Belt,Public,11198,75800
Defiance College,Ohio,35,7,Not Division 1 Football,Private not-for-profit,733,75800
Saint Leo University,Florida,46,6,Not Division 1 Football,Private not-for-profit,21098,75700
Grand Valley State University,Michigan,46,11,Not Division 1 Football,Public,23943,75700
Southern Adventist University,Tennessee,45,10,Not Division 1 Football,Private not-for-profit,2884,75700
Tarleton State University,Texas,49,10,Not Division 1 Football,Public,12194,75700
Sweet Briar College,Virginia,81,29,Not Division 1 Football,Private not-for-profit,394,75700
University of Southern Indiana,Indiana,49,9,Not Division 1 Football,Public,11110,75600
SUNY at Fredonia,New York,44,10,Not Division 1 Football,Public,4831,75600
The University of Tennessee-Chattanooga,Tennessee,44,18,Not Division 1 Football,Public,11060,75600
University of Puerto Rico-Rio Piedras,Puerto Rico,49,18,Not Division 1 Football,Public,13693,75600
Colorado Christian University,Colorado,51,2,Not Division 1 Football,Private not-for-profit,10088,75500
Becker College,Massachusetts,51,2,Not Division 1 Football,Private not-for-profit,2534,75500
Southern Vermont College,Vermont,49,12,Not Division 1 Football,Private not-for-profit,524,75500
Concordia University-Wisconsin,Wisconsin,52,8,Not Division 1 Football,Private not-for-profit,4543,75500
Clark Atlanta University,Georgia,59,16,Not Division 1 Football,Private not-for-profit,3022,75400
Thomas College,Maine,42,6,Not Division 1 Football,Private not-for-profit,1730,75400
D'Youville College,New York,62,5,Not Division 1 Football,Private not-for-profit,2048,75400
University of Wisconsin-Stevens Point,Wisconsin,41,15,Not Division 1 Football,Public,9724,75400
Jacksonville State University,Alabama,45,9,Not Division 1 Football,Public,8628,75300
Eureka College,Illinois,42,12,Not Division 1 Football,Private not-for-profit,707,75300
Warren Wilson College,North Carolina,48,10,Not Division 1 Football,Private not-for-profit,819,75300
Dickinson State University,North Dakota,47,9,Not Division 1 Football,Public,1636,75300
Winthrop University,South Carolina,56,10,Not Division 1 Football,Public,5640,75300
University of Charleston,West Virginia,32,6,Not Division 1 Football,Private not-for-profit,2344,75300
University of Puerto Rico-Medical Sciences,Puerto Rico,62,6,Not Division 1 Football,Public,445,75300
Colorado Mesa University,Colorado,42,10,Not Division 1 Football,Public,10751,75200
Cardinal Stritch University,Wisconsin,54,3,Not Division 1 Football,Private not-for-profit,2102,75200
Alabama A & M University,Alabama,42,20,Not Division 1 Football,Public,4865,75100
Mercer University,Georgia,49,13,Not Division 1 Football,Private not-for-profit,5057,75100
Washburn University,Kansas,48,5,Not Division 1 Football,Public,6711,75100
Lake Erie College,Ohio,39,12,Not Division 1 Football,Private not-for-profit,1046,75100
Trinity Christian College,Illinois,56,6,Not Division 1 Football,Private not-for-profit,1423,75e3
Texas Southern University,Texas,44,11,Not Division 1 Football,Public,7720,75e3
Cornish College of the Arts,Washington,52,1,Not Division 1 Football,Private not-for-profit,730,75e3
Murray State University,Kentucky,47,11,Not Division 1 Football,Public,10225,74800
Louisiana State University-Shreveport,Louisiana,48,13,Not Division 1 Football,Public,3466,74800
Plymouth State University,New Hampshire,36,6,Not Division 1 Football,Public,4518,74800
Southwestern Adventist University,Texas,46,8,Not Division 1 Football,Private not-for-profit,962,74800
Mayville State University,North Dakota,45,9,Not Division 1 Football,Public,1275,74700
Southern Nazarene University,Oklahoma,43,5,Not Division 1 Football,Private not-for-profit,1741,74700
Oklahoma City University,Oklahoma,54,9,Not Division 1 Football,Private not-for-profit,2007,74700
Valdosta State University,Georgia,47,8,Not Division 1 Football,Public,10218,74600
Rocky Mountain College,Montana,35,12,Not Division 1 Football,Private not-for-profit,994,74600
Roberts Wesleyan College,New York,58,4,Not Division 1 Football,Private not-for-profit,1551,74600
Oklahoma Baptist University,Oklahoma,47,8,Not Division 1 Football,Private not-for-profit,2048,74500
Northern Michigan University,Michigan,41,12,Not Division 1 Football,Public,8660,74400
California University of Pennsylvania,Pennsylvania,42,7,Not Division 1 Football,Public,6769,74400
Delaware Valley University,Pennsylvania,47,18,Not Division 1 Football,Private not-for-profit,2125,74400
Middle Tennessee State University,Tennessee,42,10,Conference USA,Public,23722,74400
The University of Texas Rio Grande Valley,Texas,44,18,Not Division 1 Football,Public,27811,74400
Bellevue College,Washington,43,12,Not Division 1 Football,Public,20975,74400
Everglades University,Florida,39,1,Not Division 1 Football,Private not-for-profit,2058,74400
Savannah College of Art and Design,Georgia,54,3,Not Division 1 Football,Private not-for-profit,10867,74300
Fisher College,Massachusetts,64,4,Not Division 1 Football,Private not-for-profit,3067,74300
Columbus College of Art and Design,Ohio,53,1,Not Division 1 Football,Private not-for-profit,1124,74300
Langston University,Oklahoma,51,4,Not Division 1 Football,Public,2434,74300
Texas A & M International University,Texas,47,15,Not Division 1 Football,Public,7869,74300
The University of Virginia's College at Wise,Virginia,55,7,Not Division 1 Football,Public,3426,74300
Southern Arkansas University Main Campus,Arkansas,45,26,Not Division 1 Football,Public,3376,74200
Endicott College,Massachusetts,48,4,Not Division 1 Football,Private not-for-profit,3511,74200
Catawba College,North Carolina,41,14,Not Division 1 Football,Private not-for-profit,1391,74200
Methodist University,North Carolina,34,13,Not Division 1 Football,Private not-for-profit,2526,74200
Trevecca Nazarene University,Tennessee,46,6,Not Division 1 Football,Private not-for-profit,2210,74200
Davis & Elkins College,West Virginia,46,8,Not Division 1 Football,Private not-for-profit,918,74200
Husson University,Maine,43,3,Not Division 1 Football,Private not-for-profit,3018,74200
Lyon College,Arkansas,36,39,Not Division 1 Football,Private not-for-profit,747,74100
Columbus State University,Georgia,48,9,Not Division 1 Football,Public,8439,74100
University of Wisconsin-Superior,Wisconsin,50,8,Not Division 1 Football,Public,2862,74100
Northwestern State University of Louisiana,Louisiana,56,8,Not Division 1 Football,Public,10199,74e3
Chadron State College,Nebraska,48,5,Not Division 1 Football,Public,2874,74e3
Georgian Court University,New Jersey,62,8,Not Division 1 Football,Private not-for-profit,1725,74e3
The Sage Colleges,New York,67,10,Not Division 1 Football,Private not-for-profit,1768,74e3
North Carolina Wesleyan College,North Carolina,48,9,Not Division 1 Football,Private not-for-profit,2594,74e3
Independence University,Utah,64,2,Not Division 1 Football,Private not-for-profit,9880,74e3
Georgia College and State University,Georgia,48,11,Not Division 1 Football,Public,6751,73900
Concordia University-Chicago,Illinois,46,2,Not Division 1 Football,Private not-for-profit,1579,73900
Avila University,Missouri,50,4,Not Division 1 Football,Private not-for-profit,1668,73800
Shawnee State University,Ohio,44,5,Not Division 1 Football,Public,4453,73800
Freed-Hardeman University,Tennessee,45,8,Not Division 1 Football,Private not-for-profit,1464,73800
Florida Southern College,Florida,53,16,Not Division 1 Football,Private not-for-profit,2737,73700
Bemidji State University,Minnesota,45,10,Not Division 1 Football,Public,5905,73700
CUNY Lehman College,New York,56,7,Not Division 1 Football,Public,14558,73700
Lander University,South Carolina,57,8,Not Division 1 Football,Public,2892,73700
University of Central Arkansas,Arkansas,46,10,Not Division 1 Football,Public,11158,73600
Mount Vernon Nazarene University,Ohio,50,7,Not Division 1 Football,Private not-for-profit,2104,73600
Mansfield University of Pennsylvania,Pennsylvania,48,9,Not Division 1 Football,Public,2476,73600
Sterling College,Kansas,36,9,Not Division 1 Football,Private not-for-profit,720,73500
Kansas City Art Institute,Missouri,55,1,Not Division 1 Football,Private not-for-profit,657,73500
Maryville University of Saint Louis,Missouri,57,3,Not Division 1 Football,Private not-for-profit,3068,73500
Nazareth College,New York,58,7,Not Division 1 Football,Private not-for-profit,2172,73500
Auburn University at Montgomery,Alabama,52,7,Not Division 1 Football,Public,5072,73400
Southeast Missouri State University,Missouri,44,9,Not Division 1 Football,Public,12162,73400
Indiana Wesleyan University-Marion,Indiana,54,7,Not Division 1 Football,Private not-for-profit,3007,73300
Oakland City University,Indiana,44,4,Not Division 1 Football,Private not-for-profit,1567,73300
Grand View University,Iowa,43,11,Not Division 1 Football,Private not-for-profit,2239,73300
Fort Hays State University,Kansas,48,7,Not Division 1 Football,Public,13964,73300
Our Lady of the Lake University,Texas,57,8,Not Division 1 Football,Private not-for-profit,1625,73300
Castleton University,Vermont,40,8,Not Division 1 Football,Public,2188,73300
Simpson University,California,52,5,Not Division 1 Football,Private not-for-profit,1081,73200
Virginia State University,Virginia,46,12,Not Division 1 Football,Public,4542,73200
Mid-America Christian University,Oklahoma,49,2,Not Division 1 Football,Private not-for-profit,2345,73200
Athens State University,Alabama,52,10,Not Division 1 Football,Public,4124,73100
Huntingdon College,Alabama,39,13,Not Division 1 Football,Private not-for-profit,1311,73100
Western State Colorado University,Colorado,32,18,Not Division 1 Football,Public,3268,73100
Armstrong State University,Georgia,54,12,Not Division 1 Football,Public,7357,73100
Louisiana College,Louisiana,34,5,Not Division 1 Football,Private not-for-profit,1010,73100
Morgan State University,Maryland,41,20,Not Division 1 Football,Public,7041,73100
Wayland Baptist University,Texas,35,2,Not Division 1 Football,Private not-for-profit,5633,73100
Shorter University-College of Adult & Professional Programs,Georgia,64,1,Not Division 1 Football,Private not-for-profit,461,73100
Fresno Pacific University,California,57,3,Not Division 1 Football,Private not-for-profit,3019,73e3
Johnson & Wales University-Providence,Rhode Island,47,5,Not Division 1 Football,Private not-for-profit,9612,73e3
South Carolina State University,South Carolina,39,14,Not Division 1 Football,Public,2875,73e3
Clayton  State University,Georgia,57,8,Not Division 1 Football,Public,8051,72900
"Anderson University - Anderson, IN",Indiana,49,6,Not Division 1 Football,Private not-for-profit,2068,72900
Cumberland University,Tennessee,51,5,Not Division 1 Football,Private not-for-profit,1542,72900
University of South Florida-St Petersburg,Florida,49,11,Not Division 1 Football,Public,4866,72900
Oklahoma Wesleyan University,Oklahoma,49,4,Not Division 1 Football,Private not-for-profit,1629,72800
Marylhurst University,Oregon,60,1,Not Division 1 Football,Private not-for-profit,669,72800
Antioch University-Los Angeles,California,55,1,Not Division 1 Football,Private not-for-profit,668,72700
Webber International University,Florida,17,6,Not Division 1 Football,Private not-for-profit,747,72500
Urbana University,Ohio,42,3,Not Division 1 Football,Private not-for-profit,3513,72500
West Virginia State University,West Virginia,43,8,Not Division 1 Football,Public,3852,72500
Ottawa University-Milwaukee,Wisconsin,62,1,Not Division 1 Football,Private not-for-profit,299,72500
University of Dubuque,Iowa,30,8,Not Division 1 Football,Private not-for-profit,1975,72400
Emporia State University,Kansas,48,9,Not Division 1 Football,Public,4276,72400
Massachusetts College of Liberal Arts,Massachusetts,51,21,Not Division 1 Football,Public,1753,72400
Texas A&M University-Texarkana,Texas,49,9,Not Division 1 Football,Public,1796,72400
Mercyhurst University,Pennsylvania,45,11,Not Division 1 Football,Private not-for-profit,2665,72300
Francis Marion University,South Carolina,56,17,Not Division 1 Football,Public,3941,72300
Midland University,Nebraska,38,8,Not Division 1 Football,Private not-for-profit,1582,72200
Averett University-Non-Traditional Programs,Virginia,47,1,Not Division 1 Football,Private not-for-profit,881,72200
Adrian College,Michigan,35,13,Not Division 1 Football,Private not-for-profit,1752,72100
Mississippi College,Mississippi,47,20,Not Division 1 Football,Private not-for-profit,3323,72100
Thiel College,Pennsylvania,34,20,Not Division 1 Football,Private not-for-profit,970,72100
Erskine College,South Carolina,33,20,Not Division 1 Football,Private not-for-profit,652,72100
University of North Alabama,Alabama,47,8,Not Division 1 Football,Public,6807,72e3
Henderson State University,Arkansas,45,6,Not Division 1 Football,Public,3427,72e3
Purdue University-North Central Campus,Indiana,49,13,Not Division 1 Football,Public,7274,72e3
California Baptist University,California,50,8,Not Division 1 Football,Private not-for-profit,7791,71900
Goshen College,Indiana,47,13,Not Division 1 Football,Private not-for-profit,835,71900
MidAmerica Nazarene University,Kansas,47,3,Not Division 1 Football,Private not-for-profit,1782,71900
Kentucky Wesleyan College,Kentucky,34,27,Not Division 1 Football,Private not-for-profit,728,71900
Houghton College,New York,52,15,Not Division 1 Football,Private not-for-profit,1095,71900
University of North Carolina at Greensboro,North Carolina,54,11,Not Division 1 Football,Public,18592,71900
Northern State University,South Dakota,47,12,Not Division 1 Football,Public,4487,71900
Johnson & Wales University-North Miami,Florida,51,1,Not Division 1 Football,Private not-for-profit,1956,71900
Clarke University,Iowa,56,11,Not Division 1 Football,Private not-for-profit,967,71800
Southwest Minnesota State University,Minnesota,47,5,Not Division 1 Football,Public,8200,71800
"Columbia College - Columbia, MO",Missouri,44,3,Not Division 1 Football,Private not-for-profit,23686,71800
Missouri Western State University,Missouri,47,13,Not Division 1 Football,Public,6090,71800
Chatham University,Pennsylvania,70,9,Not Division 1 Football,Private not-for-profit,1261,71800
Tennessee State University,Tennessee,47,11,Not Division 1 Football,Public,8222,71800
Western Carolina University,North Carolina,43,7,Not Division 1 Football,Public,9890,71700
University of Rio Grande,Ohio,54,7,Not Division 1 Football,Private not-for-profit,2490,71700
Lee University,Tennessee,46,4,Not Division 1 Football,Private not-for-profit,5177,71700
The University of Tennessee-Martin,Tennessee,46,10,Not Division 1 Football,Public,7256,71700
University of South Florida-Sarasota-Manatee,Florida,48,7,Not Division 1 Football,Public,2154,71700
Quincy University,Illinois,41,14,Not Division 1 Football,Private not-for-profit,1163,71600
University of Michigan-Flint,Michigan,48,19,Not Division 1 Football,Public,7948,71600
Johnson C Smith University,North Carolina,49,19,Not Division 1 Football,Private not-for-profit,1515,71600
East Tennessee State University,Tennessee,44,9,Not Division 1 Football,Public,12793,71600
Milwaukee Institute of Art & Design,Wisconsin,52,1,Not Division 1 Football,Private not-for-profit,629,71600
Governors State University,Illinois,53,18,Not Division 1 Football,Public,4253,71400
Mount Mercy University,Iowa,59,5,Not Division 1 Football,Private not-for-profit,1852,71400
Wingate University,North Carolina,47,8,Not Division 1 Football,Private not-for-profit,2101,71400
University of Hawaii at Hilo,Hawaii,50,14,Not Division 1 Football,Public,3899,71300
Kansas Wesleyan University,Kansas,36,11,Not Division 1 Football,Private not-for-profit,736,71300
Union University,Tennessee,49,6,Not Division 1 Football,Private not-for-profit,2990,71300
University of Wisconsin-Green Bay,Wisconsin,55,7,Not Division 1 Football,Public,7719,71300
Lesley University,Massachusetts,65,3,Not Division 1 Football,Private not-for-profit,2612,71200
Tabor College,Kansas,38,7,Not Division 1 Football,Private not-for-profit,743,71100
Newbury College,Massachusetts,45,4,Not Division 1 Football,Private not-for-profit,944,71100
College of Saint Mary,Nebraska,86,4,Not Division 1 Football,Private not-for-profit,932,71100
Lubbock Christian University,Texas,48,8,Not Division 1 Football,Private not-for-profit,1717,71100
Arkansas Tech University,Arkansas,43,9,Not Division 1 Football,Public,12650,71e3
Hope International University,California,43,1,Not Division 1 Football,Private not-for-profit,1438,71e3
St Petersburg College,Florida,48,10,Not Division 1 Football,Public,41532,71e3
Siena Heights University,Michigan,47,5,Not Division 1 Football,Private not-for-profit,3105,71e3
Pfeiffer University,North Carolina,46,5,Not Division 1 Football,Private not-for-profit,998,71e3
Austin Peay State University,Tennessee,46,11,Not Division 1 Football,Public,10669,71e3
Milligan College,Tennessee,50,11,Not Division 1 Football,Private not-for-profit,946,71e3
Wesley College,Delaware,44,6,Not Division 1 Football,Private not-for-profit,1693,70900
Drury University,Missouri,48,11,Not Division 1 Football,Private not-for-profit,4633,70900
Northwest Christian University,Oregon,50,8,Not Division 1 Football,Private not-for-profit,691,70900
Mount Mary University,Wisconsin,87,4,Not Division 1 Football,Private not-for-profit,828,70900
Ottawa University-Phoenix,Arizona,57,2,Not Division 1 Football,Private not-for-profit,566,70800
Upper Iowa University,Iowa,49,3,Not Division 1 Football,Private not-for-profit,6629,70800
Kentucky State University,Kentucky,47,16,Not Division 1 Football,Public,1950,70800
Wayne State College,Nebraska,46,9,Not Division 1 Football,Public,3328,70800
Antioch University-Midwest,Ohio,62,1,Not Division 1 Football,Private not-for-profit,69,70800
Lindenwood University,Missouri,43,8,Not Division 1 Football,Private not-for-profit,9539,70700
Alvernia University,Pennsylvania,61,4,Not Division 1 Football,Private not-for-profit,2909,70700
Broward College,Florida,47,5,Not Division 1 Football,Public,63024,70600
University of Hawaii-West Oahu,Hawaii,54,1,Not Division 1 Football,Public,3416,70600
Dean College,Massachusetts,38,2,Not Division 1 Football,Private not-for-profit,1665,70600
North Carolina Central University,North Carolina,54,11,Not Division 1 Football,Public,7226,70600
University of the Incarnate Word,Texas,47,9,Not Division 1 Football,Private not-for-profit,8389,70600
Florida Gulf Coast University,Florida,43,12,Not Division 1 Football,Public,15223,70600
Brenau University,Georgia,76,3,Not Division 1 Football,Private not-for-profit,2057,70500
Covenant College,Georgia,45,11,Not Division 1 Football,Private not-for-profit,1081,70500
Shorter University,Georgia,46,7,Not Division 1 Football,Private not-for-profit,1656,70500
Northwest Nazarene University,Idaho,47,8,Not Division 1 Football,Private not-for-profit,3568,70500
Charleston Southern University,South Carolina,50,9,Not Division 1 Football,Private not-for-profit,3873,70500
Georgia Southwestern State University,Georgia,51,6,Not Division 1 Football,Public,2868,70400
William Penn University,Iowa,37,9,Not Division 1 Football,Private not-for-profit,1931,70400
Stephens College,Missouri,86,5,Not Division 1 Football,Private not-for-profit,768,70400
Northland College,Wisconsin,39,25,Not Division 1 Football,Private not-for-profit,597,70400
Adams State University,Colorado,33,4,Not Division 1 Football,Public,2685,70300
Cedar Crest College,Pennsylvania,75,6,Not Division 1 Football,Private not-for-profit,1699,70300
Barton College,North Carolina,57,10,Not Division 1 Football,Private not-for-profit,1073,70200
Ursuline College,Ohio,79,2,Not Division 1 Football,Private not-for-profit,706,70200
Seton Hill University,Pennsylvania,51,12,Not Division 1 Football,Private not-for-profit,3104,70100
Regent University,Virginia,49,2,Not Division 1 Football,Private not-for-profit,3758,70100
Keuka College,New York,62,3,Not Division 1 Football,Private not-for-profit,1995,7e4
Huston-Tillotson University,Texas,46,8,Not Division 1 Football,Private not-for-profit,1114,7e4
Montana State University-Northern,Montana,37,3,Not Division 1 Football,Public,1510,69900
SUNY College of Agriculture and Technology at Cobleskill,New York,41,7,Not Division 1 Football,Public,2770,69900
University of Mary,North Dakota,51,5,Not Division 1 Football,Private not-for-profit,2530,69900
Fairmont State University,West Virginia,44,6,Not Division 1 Football,Public,4359,69900
Guilford College,North Carolina,42,16,Not Division 1 Football,Private not-for-profit,2150,69800
Green Mountain College,Vermont,39,3,Not Division 1 Football,Private not-for-profit,633,69800
Warner University,Florida,37,4,Not Division 1 Football,Private not-for-profit,1164,69700
Buena Vista University,Iowa,55,6,Not Division 1 Football,Private not-for-profit,2715,69700
Edinboro University of Pennsylvania,Pennsylvania,45,6,Not Division 1 Football,Public,5844,69700
Concord University,West Virginia,44,13,Not Division 1 Football,Public,2456,69700
Doane University-Graduate and Professional Studies,Nebraska,53,1,Not Division 1 Football,Private not-for-profit,889,69700
University of West Alabama,Alabama,43,4,Not Division 1 Football,Public,2273,69600
Albany State University,Georgia,54,10,Not Division 1 Football,Public,3303,69600
SUNY College of Technology at Delhi,New York,43,2,Not Division 1 Football,Public,3831,69600
Northwestern Oklahoma State University,Oklahoma,45,10,Not Division 1 Football,Public,2294,69600
Friends University,Kansas,45,11,Not Division 1 Football,Private not-for-profit,2206,69500
Greensboro College,North Carolina,40,9,Not Division 1 Football,Private not-for-profit,1024,69500
Wilmington College,Ohio,41,8,Not Division 1 Football,Private not-for-profit,1185,69500
West Liberty University,West Virginia,48,8,Not Division 1 Football,Public,2342,69500
University of North Carolina at Asheville,North Carolina,44,22,Not Division 1 Football,Public,4353,69400
Florida SouthWestern State College,Florida,49,2,Not Division 1 Football,Public,21180,69300
Palm Beach State College,Florida,45,8,Not Division 1 Football,Public,41851,69300
Indiana University-South Bend,Indiana,48,10,Not Division 1 Football,Public,8059,69200
Mount Marty College,South Dakota,45,2,Not Division 1 Football,Private not-for-profit,1483,69200
Lakeland University,Wisconsin,46,9,Not Division 1 Football,Private not-for-profit,3515,69200
Piedmont College,Georgia,56,4,Not Division 1 Football,Private not-for-profit,1576,69100
Montana State University-Billings,Montana,50,4,Not Division 1 Football,Public,5062,69100
Inter American University of Puerto Rico-San German,Puerto Rico,40,20,Not Division 1 Football,Private not-for-profit,4664,69100
Jones College-Jacksonville,Florida,69,6,Not Division 1 Football,Private not-for-profit,483,69e3
Grace College and Theological Seminary,Indiana,43,4,Not Division 1 Football,Private not-for-profit,2179,69e3
St Andrews University,North Carolina,44,13,Not Division 1 Football,Private not-for-profit,696,69e3
Northeastern State University,Oklahoma,49,8,Not Division 1 Football,Public,8245,69e3
Howard Payne University,Texas,36,8,Not Division 1 Football,Private not-for-profit,1158,69e3
University of Mobile,Alabama,53,8,Not Division 1 Football,Private not-for-profit,1653,68900
University of Montevallo,Alabama,55,4,Not Division 1 Football,Public,2756,68900
Baker College,Michigan,55,10,Not Division 1 Football,Private not-for-profit,32007,68900
Fontbonne University,Missouri,56,5,Not Division 1 Football,Private not-for-profit,1268,68900
The College of New Rochelle,New York,77,2,Not Division 1 Football,Private not-for-profit,3595,68900
Salem College,North Carolina,83,14,Not Division 1 Football,Private not-for-profit,977,68900
Notre Dame College,Ohio,44,9,Not Division 1 Football,Private not-for-profit,1985,68900
Universidad del Turabo,Puerto Rico,46,9,Not Division 1 Football,Private not-for-profit,16383,68900
Vincennes University,Indiana,33,3,Not Division 1 Football,Public,22888,68800
Marygrove College,Michigan,56,3,Not Division 1 Football,Private not-for-profit,804,68800
Missouri Southern State University,Missouri,46,10,Not Division 1 Football,Public,6570,68800
Peru State College,Nebraska,47,6,Not Division 1 Football,Public,2947,68800
SUNY College at Brockport,New York,43,9,Not Division 1 Football,Public,7938,68800
Tiffin University,Ohio,40,3,Not Division 1 Football,Private not-for-profit,2956,68800
La Roche College,Pennsylvania,44,12,Not Division 1 Football,Private not-for-profit,1619,68800
Carson-Newman University,Tennessee,45,6,Not Division 1 Football,Private not-for-profit,1875,68800
East Texas Baptist University,Texas,41,6,Not Division 1 Football,Private not-for-profit,1300,68800
Eastern Mennonite University,Virginia,55,5,Not Division 1 Football,Private not-for-profit,1482,68800
University of Guam,Guam,44,10,Not Division 1 Football,Public,4233,68800
Florida State College at Jacksonville,Florida,48,6,Not Division 1 Football,Public,41069,68700
"Aquinas College - Grand Rapids, MI",Michigan,48,14,Not Division 1 Football,Private not-for-profit,1905,68700
Montreat College,North Carolina,42,7,Not Division 1 Football,Private not-for-profit,893,68700
Pontifical Catholic University of Puerto Rico-Ponce,Puerto Rico,46,8,Not Division 1 Football,Private not-for-profit,5954,68700
Inter American University of Puerto Rico-Metro,Puerto Rico,44,9,Not Division 1 Football,Private not-for-profit,7687,68700
Wilmington University,Delaware,52,5,Not Division 1 Football,Private not-for-profit,12169,68600
Indiana University-Kokomo,Indiana,54,5,Not Division 1 Football,Public,4691,68600
University of Northwestern-St Paul,Minnesota,49,9,Not Division 1 Football,Private not-for-profit,3722,68600
Alabama State University,Alabama,49,15,Not Division 1 Football,Public,5373,68500
Morehead State University,Kentucky,48,9,Not Division 1 Football,Public,10959,68500
SUNY Buffalo State,New York,44,7,Not Division 1 Football,Public,10293,68500
Silver Lake College of the Holy Family,Wisconsin,54,11,Not Division 1 Football,Private not-for-profit,509,68500
Coastal Carolina University,South Carolina,41,14,Not Division 1 Football,Public,10435,68400
University of Sioux Falls,South Dakota,48,6,Not Division 1 Football,Private not-for-profit,1422,68400
King University,Tennessee,53,8,Not Division 1 Football,Private not-for-profit,3199,68400
Liberty University,Virginia,46,2,Not Division 1 Football,Private not-for-profit,65425,68400
Greenville College,Illinois,37,11,Not Division 1 Football,Private not-for-profit,1237,68300
Berea College,Kentucky,45,16,Not Division 1 Football,Private not-for-profit,1717,68300
Coppin State University,Maryland,62,6,Not Division 1 Football,Public,3166,68300
Winston-Salem State University,North Carolina,60,7,Not Division 1 Football,Public,5573,68300
Ohio Dominican University,Ohio,43,6,Not Division 1 Football,Private not-for-profit,2090,68300
Mount Aloysius College,Pennsylvania,56,10,Not Division 1 Football,Private not-for-profit,3002,68300
Newberry College,South Carolina,34,12,Not Division 1 Football,Private not-for-profit,1115,68300
Dakota Wesleyan University,South Dakota,46,8,Not Division 1 Football,Private not-for-profit,1042,68300
Tennessee Wesleyan University,Tennessee,53,5,Not Division 1 Football,Private not-for-profit,1191,68300
Gallaudet University,District of Columbia,40,6,Not Division 1 Football,Private not-for-profit,1126,68200
Cambridge College,Massachusetts,51,1,Not Division 1 Football,Private not-for-profit,1524,68200
Carlow University,Pennsylvania,74,5,Not Division 1 Football,Private not-for-profit,1658,68200
Johnson State College,Vermont,54,4,Not Division 1 Football,Public,1627,68100
Indiana University-Northwest,Indiana,54,9,Not Division 1 Football,Public,6692,68e3
Spalding University,Kentucky,59,1,Not Division 1 Football,Private not-for-profit,1329,68e3
Crown College,Minnesota,42,3,Not Division 1 Football,Private not-for-profit,1051,68e3
Ashland University,Ohio,37,6,Not Division 1 Football,Private not-for-profit,4850,68e3
Cincinnati College of Mortuary Science,Ohio,52,1,Not Division 1 Football,Private not-for-profit,106,68e3
Averett University,Virginia,40,7,Not Division 1 Football,Private not-for-profit,883,68e3
Bethel College-North Newton,Kansas,40,10,Not Division 1 Football,Private not-for-profit,598,67900
Central Methodist University-College of Liberal Arts and Sciences,Missouri,39,14,Not Division 1 Football,Private not-for-profit,1133,67900
University of Arkansas at Little Rock,Arkansas,49,13,Not Division 1 Football,Public,10900,67800
Bennett College,North Carolina,85,28,Not Division 1 Football,Private not-for-profit,641,67800
Bluffton University,Ohio,40,9,Not Division 1 Football,Private not-for-profit,990,67800
Peirce College,Pennsylvania,60,14,Not Division 1 Football,Private not-for-profit,2242,67800
Virginia Wesleyan College,Virginia,52,15,Not Division 1 Football,Private not-for-profit,1572,67800
LaGrange College,Georgia,38,10,Not Division 1 Football,Private not-for-profit,971,67700
Lewis-Clark State College,Idaho,51,8,Not Division 1 Football,Public,4779,67700
Calumet College of Saint Joseph,Indiana,33,7,Not Division 1 Football,Private not-for-profit,955,67700
Indiana University-Southeast,Indiana,47,12,Not Division 1 Football,Public,6944,67700
Meredith College,North Carolina,87,11,Not Division 1 Football,Private not-for-profit,1815,67700
Art Academy of Cincinnati,Ohio,54,1,Not Division 1 Football,Private not-for-profit,208,67700
Malone University,Ohio,49,7,Not Division 1 Football,Private not-for-profit,1591,67700
Norfolk State University,Virginia,52,13,Not Division 1 Football,Public,5078,67700
Wells College,New York,55,26,Not Division 1 Football,Private not-for-profit,581,67600
New Mexico Highlands University,New Mexico,50,8,Not Division 1 Football,Public,2715,67500
Culinary Institute of America,New York,36,1,Not Division 1 Football,Private not-for-profit,4313,67500
Southeastern University,Florida,44,3,Not Division 1 Football,Private not-for-profit,4489,67400
Missouri Baptist University,Missouri,50,3,Not Division 1 Football,Private not-for-profit,4547,67400
Valley City State University,North Dakota,50,7,Not Division 1 Football,Public,1547,67400
Rogers State University,Oklahoma,50,9,Not Division 1 Football,Public,4997,67400
Johnson & Wales University-Charlotte,North Carolina,54,1,Not Division 1 Football,Private not-for-profit,2454,67400
University of Maine at Augusta,Maine,61,8,Not Division 1 Football,Public,6193,67300
Cornerstone University,Michigan,49,2,Not Division 1 Football,Private not-for-profit,2423,67300
Delta State University,Mississippi,48,7,Not Division 1 Football,Public,3044,67300
