college_name,state,percent_female,percent_stem,division_1_football_classifications,school_sector,undergraduate_enrollment,mid_career_median_pay
University of New Mexico-Main Campus,New Mexico,43,20,Mountain West,Public,23419,9e4
Molloy College,New York,58,5,Not Division 1 Football,Private not-for-profit,6448,9e4
Prairie View A & M University,Texas,47,21,Not Division 1 Football,Public,7650,9e4
Bryn Mawr College,Pennsylvania,87,20,Not Division 1 Football,Private not-for-profit,1430,89900
The University of Texas Health Science Center at San Antonio,Texas,54,5,Not Division 1 Football,Public,1200,89900
Farmingdale State College,New York,34,12,Not Division 1 Football,Public,11888,89700
Marietta College,Ohio,27,40,Not Division 1 Football,Private not-for-profit,1347,89700
Dominican University of California,California,61,14,Not Division 1 Football,Private not-for-profit,1566,89600
LIU Brooklyn,New York,57,8,Not Division 1 Football,Private not-for-profit,5210,89600
Lebanon Valley College,Pennsylvania,42,14,Not Division 1 Football,Private not-for-profit,1807,89600
Simmons College,Massachusetts,86,4,Not Division 1 Football,Private not-for-profit,1850,89500
Rutgers University-Camden,New Jersey,45,12,Not Division 1 Football,Public,5822,89500
Le Moyne College,New York,48,18,Not Division 1 Football,Private not-for-profit,3118,89500
Xavier University,Ohio,41,7,Not Division 1 Football,Private not-for-profit,4941,89500
The University of Tennessee-Knoxville,Tennessee,37,21,SEC,Public,23677,89500
"University of St. Thomas - Houston, TX",Texas,46,7,Not Division 1 Football,Private not-for-profit,1927,89500
Rockhurst University,Missouri,50,12,Not Division 1 Football,Private not-for-profit,2226,89400
Elizabethtown College,Pennsylvania,50,27,Not Division 1 Football,Private not-for-profit,1814,89400
University of Houston-Clear Lake,Texas,53,30,Not Division 1 Football,Public,6916,89400
Knox College,Illinois,47,25,Not Division 1 Football,Private not-for-profit,1398,89300
Excelsior College,New York,41,2,Not Division 1 Football,Private not-for-profit,50736,89300
"Westminster College - Salt Lake City, UT",Utah,43,9,Not Division 1 Football,Private not-for-profit,2512,89300
Johnson & Wales University-Online,Rhode Island,54,1,Not Division 1 Football,Private not-for-profit,465,89300
University of Louisiana at Lafayette,Louisiana,46,19,Sun Belt,Public,17975,89100
Framingham State University,Massachusetts,50,6,Not Division 1 Football,Public,5350,89100
Mississippi State University,Mississippi,38,28,SEC,Public,19030,89100
Biola University,California,51,8,Not Division 1 Football,Private not-for-profit,4437,89e3
Towson University,Maryland,47,15,Not Division 1 Football,Public,21337,89e3
Alfred University,New York,38,20,Not Division 1 Football,Private not-for-profit,2014,89e3
Bard College,New York,45,1,Not Division 1 Football,Private not-for-profit,2135,89e3
Lycoming College,Pennsylvania,40,21,Not Division 1 Football,Private not-for-profit,1394,88900
Lynchburg College,Virginia,48,12,Not Division 1 Football,Private not-for-profit,2227,88900
Hawaii Pacific University,Hawaii,44,15,Not Division 1 Football,Private not-for-profit,4725,88800
Saint Mary's University of Minnesota,Minnesota,42,5,Not Division 1 Football,Private not-for-profit,1919,88800
Vaughn College of Aeronautics and Technology,New York,4,7,Not Division 1 Football,Private not-for-profit,1938,88800
SUNY College at Old Westbury,New York,46,7,Not Division 1 Football,Public,5183,88800
Duquesne University,Pennsylvania,50,12,Not Division 1 Football,Private not-for-profit,6410,88800
Philadelphia University,Pennsylvania,55,5,Not Division 1 Football,Private not-for-profit,3098,88800
Brigham Young University-Hawaii,Hawaii,47,9,Not Division 1 Football,Private not-for-profit,3463,88800
New England College,New Hampshire,57,5,Not Division 1 Football,Private not-for-profit,2166,88700
Walla Walla University,Washington,39,21,Not Division 1 Football,Private not-for-profit,1843,88700
John F. Kennedy University,California,57,1,Not Division 1 Football,Private not-for-profit,229,88600
Mount Holyoke College,Massachusetts,87,30,Not Division 1 Football,Private not-for-profit,2346,88600
William Paterson University of New Jersey,New Jersey,43,7,Not Division 1 Football,Public,11184,88600
Holy Family University,Pennsylvania,61,3,Not Division 1 Football,Private not-for-profit,2226,88600
West Chester University of Pennsylvania,Pennsylvania,47,10,Not Division 1 Football,Public,15787,88600
Sewanee-The University of the South,Tennessee,41,15,Not Division 1 Football,Private not-for-profit,1810,88600
Central Washington University,Washington,40,14,Not Division 1 Football,Public,15296,88600
Cornell College,Iowa,39,28,Not Division 1 Football,Private not-for-profit,1041,88500
Ohio University-Main Campus,Ohio,49,11,Mid-American,Public,27817,88500
Southwestern University,Texas,45,20,Not Division 1 Football,Private not-for-profit,1559,88500
The University of Texas at El Paso,Texas,42,23,Conference USA,Public,23771,88400
Benedictine College,Kansas,43,15,Not Division 1 Football,Private not-for-profit,2203,88300
Point Loma Nazarene University,California,53,10,Not Division 1 Football,Private not-for-profit,3062,88200
Western Michigan University,Michigan,37,16,Mid-American,Public,20265,88200
